"","SRN","MobileNo","OwnerGroupID","AreaID","SubAreaID","DATE_COMMITTED","CLOSED_DATE","SR_TYPE","CONNECTION_TYPE","STATUS","SUB_STATUS","NotResolvedOnTime","OwnerGroupRanges","closed_day","commited_day"
"296","1ca30c563194d8e91babc3c42cc53e039fdca224309dbb3df9b75d870dd1eec7","6e6b62017b413379684fb30d4f5461ae8a26cf2eb8bc28bb64a44640ee6ddd2f","6","3","6",2018-09-21,2018-09-15,"A","B","X","7","0","1","Saturday","Friday"
"297","231d6eb5a91af2a4d20c6eddc7d7e2c6d2cfc09bd02f586f8915eb713405ecfa","21e97ba59a0373306933216e7b804b026951a79bd8788625235638df55b53750","6","3","6",2018-09-10,2018-09-10,"A","B","X","7","0","1","Monday","Monday"
"298","9f3e41ca231bbfa8133b7ed261d1a3b666b1a7c9d46607bc17383886de7ddc55","b941c1f441f393c083cbe9f87732c5a85c3bdb3d33b9d56c569e8da0b8c64104","6","3","6",2018-09-18,2018-09-18,"A","B","X","7","0","1","Tuesday","Tuesday"
"299","c087ad2183fca89a35b8b129380ebbcc533cda035e95d4b881c56f2af483fbe8","4a9bb991b8d3339981b0ee9147659348f139babd9574da6f87fa10b665f9d883","6","3","6",2018-09-14,2018-09-14,"A","B","X","7","0","1","Friday","Friday"
"300","86a8e40e73c730348e0dbdbff7cfea2f38f20bd06853409e5f135eb31bdc81ca","5c962942bc09c2135f234156bd315eda443d46e3456808d07a835d7ae32436ca","14","7","14",2018-09-07,2018-09-06,"A","B","X","7","0","2","Thursday","Friday"
"301","4b0e34c6396da2259b5b9548aa4de4a5dfd073be9aba512c0085df6f379867d5","f7357d9aa425ac73af4b13e41dce379af80734d05e6ad535d9b0056d8f49ae3c","6","3","6",2018-09-18,2018-09-25,"A","B","X","8","1","1","Tuesday","Tuesday"
"302","cd913a00d2a32427ddf82e26958ad817b9e89c415f1483cc888cdb6626e67647","0ad0fd995ba706359ca6b63f67a9e94e66d624b75e40517565414cf1867d6195","6","3","6",2018-09-21,2018-09-26,"A","B","X","8","1","1","Wednesday","Friday"
"303","14a93c219dd99b8aaf6e9b19ebd7061b74774aef747f88f184b19292ea190281","529166eaf96a769d230ed706640e0c73bfdd9ba3606d7495436b56785abbebbe","14","7","14",2018-09-13,2018-09-06,"A","B","X","7","0","2","Thursday","Thursday"
"304","d30a5a090eee2c870240810b2cb388b5d96fb546cdc5667232a09747df7622e2","3b4036fc2778e75788d129e3f338edb281ed3467342d5a4fd47d4ecf0c73a7da","6","3","6",2018-09-12,2018-09-28,"A","B","X","8","1","1","Friday","Wednesday"
"305","c76043470be48d2986c6c5e263d60c114ff4687576c08f57d93e30e00851a746","53fb635a4ce3f34298ddab3e929bfc4c447da66b21b94b5520cd3b220c341bff","6","3","6",2018-09-20,2018-09-15,"A","B","X","7","0","1","Saturday","Thursday"
"306","feeffb37203b1c0ad1b72300a94088e5dded9021e95e2ad894869a6abdb48d69","d49889db5a843282199f776b77fcce294b31c61a1fd00853a50632bc8978b0e2","14","7","14",2018-09-14,2018-09-07,"A","B","X","7","0","2","Friday","Friday"
"307","9d3a03a6fe0f78f74b9405597de02a1227044d1e1184d40b7d97e1a3b7923f65","18f2eae14a7ae8b629e69dbe6493116c68104beb1253640aab14f718e117d3f8","70","21","70",2018-09-04,2018-09-03,"A","B","X","7","0","6","Monday","Tuesday"
"308","f6e80cfc179def217da03da92b5c9540c5e60059c498d8ecbea75f8b429b7662","1fb0aef91aceaf018892ec8c0c2c37228fa90b8935dfdcca7038ce8ca1f20dd6","14","7","14",2018-09-12,2018-09-06,"A","B","X","1","0","2","Thursday","Wednesday"
"309","776e79006365c5ef307c067de50b14ef2ad6fbdf705a99dc9b7d51951488cb1b","31e4470a290708fd071dedc346f530ed6a864aa6be258268fe3ea07a3fe3b31d","6","3","6",2018-09-21,2018-09-29,"A","B","X","8","1","1","Saturday","Friday"
"310","5025a481cbf418275cf136a6a55cdb787bdbac9a68143951e6055ffe5131edea","7eceefc6e2d547bd77c3535a41c588e06499379d14673a4a3354cfc3332802e9","6","3","6",2018-09-14,2018-09-19,"A","B","X","8","1","1","Wednesday","Friday"
"311","28aa2225aadf317096dee94f69b82e286c281bc53c35ba1d24c0396dc90ea48a","5cf7ec41c9eb8e468c3e1d33a9c492132f9c8c2a6efc077e6285882eaa0d181c","6","3","6",2018-09-17,2018-09-25,"A","B","X","8","1","1","Tuesday","Monday"
"312","7c43d8d8118d74b3755106114bdfaeac2a67f12da855ca0556a8c950c9e88cfd","f41219bdfb72b75a60397c3caefc6ea40c186469278b6ee2aace00c12326f8f1","25","5","25",2018-09-28,2018-09-28,"A","B","X","7","0","3","Friday","Friday"
"313","417ab7dc81b568b0b357bf168babbb81f45aea24096be2cafeb00cfd3e21fe70","05bf29ae7319019a54d9e3c62eefd6ea60d248869c1f85ca7003ea3b7b91f843","6","3","6",2018-09-07,2018-09-12,"A","B","X","8","1","1","Wednesday","Friday"
"314","d355a92e20fe250570b5b58936a60cb72e21ae72d9a84ac3df2ff0e4319ea8d4","7ef69c5784c3bae731f19d8ec9049db3b6366e7ea350778357641e2dc8d2ef13","25","5","25",2018-09-13,2018-09-12,"A","B","X","7","0","3","Wednesday","Thursday"
"315","34b1152535596f3a890d8caf15bd396f2f1fb6c0078a9f002fc7424f923d470c","5510c69892d75c29f2988901517db1b204bb33dad2b35fe87ab720bcb46c2bc7","25","5","25",2018-09-19,2018-09-13,"A","B","X","7","0","3","Thursday","Wednesday"
"316","a0ded35492893de305cb6a075a1171cb5f1a182fc830eaad3ad6f45efba37ce1","92eaf9a808604680517061417e35db84a2701bc340c9df496b38578c534f1a8d","25","5","25",2018-09-20,2018-09-15,"A","B","X","7","0","3","Saturday","Thursday"
"317","4b97f4221313d4a05a4fa75bbba6060208b223ba771fbea621793ce75bdbbc5c","7243e958e6260b39f0d5767cb8a114dcb437206cc6f7e84c4db65643445686de","25","5","25",2018-09-26,2018-09-24,"A","B","X","7","0","3","Monday","Wednesday"
"318","e8c57d56b20ad54eb535508063b49b5333c311cbf4059406bf406f2e6ba0a2e7","428942426c38831d9c3057f6c25aa3e4d84f4b63d87e5f2c0dc8a22dbfcb1f26","25","5","25",2018-09-18,2018-09-17,"A","B","X","7","0","3","Monday","Tuesday"
"319","91eebaf317f924c953ab590437c7fffbb448f851d76b16ecdf59bf346ebf5157","026c5a95e66efaa48bb8ec663ec6dbf4838c568e2f4130b69584fc6d24470d14","25","5","25",2018-10-04,2018-10-02,"A","B","X","7","0","3","Tuesday","Thursday"
"320","1a7087a12ff3473af34fc76c4546c803049b335ffaf4f8a3f256331550339478","dba4b550a20a9cf5033a75b8e836943a12bee8cf167cb21b0bcd0324d0ea7dd9","25","5","25",2018-09-13,2018-09-18,"A","B","X","8","1","3","Tuesday","Thursday"
"321","8202e5fd8c68ca080c45e32dbd84b36af486dd5d5238a4da30b2659bd2d786b3","16c0fc56a13865fd46209c9ef5323eaa5333c44fdac459cbe5b2318558dcd7a9","25","5","25",2018-09-21,2018-09-21,"A","B","X","7","0","3","Friday","Friday"
"322","6b6f292d2ba2b3a587d80dd589a6578d2509f91634592261a10ffe9a2f596d35","36af5844ef285e345d71d3ad080b42e0271deb9793391bc4acd3f7ea2cdddb32","25","5","25",2018-09-13,2018-09-12,"A","B","X","7","0","3","Wednesday","Thursday"
"323","9dd0b8f8d851cad364353855a741e108087174eb8a9f952583306893c619be89","424e3763404f8ee562e885196db4b4ef68e2dc65179597703f30feb776e23dfa","19","7","19",2018-09-18,2018-09-11,"A","B","X","7","0","2","Tuesday","Tuesday"
"324","adbe3c01845ad20e26b6c3a00484323db8ae39a6ffabe5d76c9b3fdcba608b5f","2d699836490ede6c0109f4cc677b2901107f5f3d7641582c98c60e8df4d57431","19","7","19",2018-10-02,2018-09-25,"A","B","X","7","0","2","Tuesday","Tuesday"
"325","2f8711ca8914fa60d93cd7c61952498cdf8921811e90df9c843958cd6484358e","b9ee3575e68d8f7fd335b4aff376efbbeca2d8786431dcd692de340f5abb7a80","19","7","19",2018-09-26,2018-09-28,"A","B","X","7","1","2","Friday","Wednesday"
"326","0291ca1c5db01c1d1744a868471af02eea6f12fff25112fa7f3cfaf165d5caa9","daff2c9be76eccbdfdc2f068b22a4fd122408fdee96e67d5d8d4b3e62a5c1487","19","7","19",2018-09-19,2018-09-17,"A","B","X","7","0","2","Monday","Wednesday"
"327","b1338fa2c9e15c97b3dc5cabdd4749297edaeec9a5ab445ba82bb36b9118b4cd","f3adc875dff9b14bd5f2170611273dd768924144787ef121da91d2dd7b59bd75","19","7","19",2018-09-07,2018-09-06,"A","B","X","7","0","2","Thursday","Friday"
"328","d8099b9a21632916f50ad0561433a4f4831bb631a06c254d4a9d0617c2766602","c3c503fc46bd1578f5307e5e0fd325b81826228273a2ca2ddf13aa26d21af608","19","7","19",2018-10-01,2018-09-25,"A","A","X","7","0","2","Tuesday","Monday"
"329","7ee133d471ffe6fca535cdc5832233fa03ce458a35c783c762be4b11570620c3","8018a670f3ef96e954ec679188f342ee1b77035a30034c7a4cc3ec8871b3e709","19","7","19",2018-09-13,2018-09-07,"A","B","X","7","0","2","Friday","Thursday"
"330","3f7e642b76a4af4e2c678a7687498b66b74c4a18d517947793417b3901b2e131","da476d027e7edf3ad83f75473488534b3b3e008f8596ce7d97718a96246b1112","19","7","19",2018-09-14,2018-09-07,"A","B","X","7","0","2","Friday","Friday"
"331","aafb2ead3bf0b6bc21cea528153c483a2153b80a334212042055ce9c1c1ca62e","18b3004e11a5838b5ec44bc75bdfaba4ccb03af05a4ba7e8236b24cdb8039c49","14","7","14",2018-09-28,2018-09-21,"A","B","X","7","0","2","Friday","Friday"
